Date,regime_pdrc
2004-09-08,Stable
2004-09-09,Crisis
2004-09-10,Crisis
2004-09-13,Crisis
2004-09-14,Crisis
2004-09-15,RiskOn
2004-09-16,RiskOn
2004-09-17,Crisis
2004-09-20,RiskOn
2004-09-21,Crisis
2004-09-22,RiskOn
2004-09-23,RiskOn
2004-09-24,RiskOn
2004-09-27,RiskOn
2004-09-28,Crisis
2004-09-29,Crisis
2004-09-30,Crisis
2004-10-01,Crisis
2004-10-04,Crisis
2004-10-05,Stable
2004-10-06,Crisis
2004-10-07,RiskOn
2004-10-08,RiskOn
2004-10-11,RiskOn
2004-10-12,RiskOn
2004-10-13,RiskOn
2004-10-14,Volatile
2004-10-15,RiskOn
2004-10-18,RiskOn
2004-10-19,RiskOn
2004-10-20,RiskOn
2004-10-21,Crisis
2004-10-22,RiskOn
2004-10-25,Volatile
2004-10-26,Volatile
2004-10-27,Volatile
2004-10-28,RiskOn
2004-10-29,Volatile
2004-11-01,Volatile
2004-11-02,Volatile
2004-11-03,Crisis
2004-11-04,Crisis
2004-11-05,Crisis
2004-11-08,Crisis
2004-11-09,Crisis
2004-11-10,Crisis
2004-11-11,Crisis
2004-11-12,Crisis
2004-11-15,Stable
2004-11-16,Crisis
2004-11-17,Crisis
2004-11-18,Crisis
2004-11-19,Crisis
2004-11-22,Crisis
2004-11-23,Crisis
2004-11-24,Crisis
2004-11-26,Stable
2004-11-29,Stable
2004-11-30,Stable
2004-12-01,Crisis
2004-12-02,Crisis
2004-12-03,Crisis
2004-12-06,Stable
2004-12-07,Stable
2004-12-08,Stable
2004-12-09,Crisis
2004-12-10,Crisis
2004-12-13,Crisis
2004-12-14,Crisis
2004-12-15,Crisis
2004-12-16,Crisis
2004-12-17,Crisis
2004-12-20,Crisis
2004-12-21,Crisis
2004-12-22,Crisis
2004-12-23,Crisis
2004-12-27,Stable
2004-12-28,Crisis
2004-12-29,Crisis
2004-12-30,Stable
2004-12-31,Stable
2005-01-03,Stable
2005-01-04,Stable
2005-01-05,Stable
2005-01-06,Stable
2005-01-07,Stable
2005-01-10,Stable
2005-01-11,Stable
2005-01-12,Stable
2005-01-13,Stable
2005-01-14,Crisis
2005-01-18,Crisis
2005-01-19,Crisis
2005-01-20,Crisis
2005-01-21,Volatile
2005-01-24,Volatile
2005-01-25,Fragile
2005-01-26,Fragile
2005-01-27,Stable
2005-01-28,Stable
2005-01-31,Crisis
2005-02-01,Crisis
2005-02-02,Crisis
2005-02-03,Crisis
2005-02-04,Crisis
2005-02-07,Crisis
2005-02-08,Crisis
2005-02-09,Crisis
2005-02-10,Crisis
2005-02-11,Crisis
2005-02-14,Crisis
2005-02-15,Crisis
2005-02-16,Crisis
2005-02-17,Crisis
2005-02-18,Crisis
2005-02-22,Stable
2005-02-23,Stable
2005-02-24,Crisis
2005-02-25,Crisis
2005-02-28,Crisis
2005-03-01,Crisis
2005-03-02,Crisis
2005-03-03,Stable
2005-03-04,Crisis
2005-03-07,Crisis
2005-03-08,Stable
2005-03-09,Crisis
2005-03-10,Crisis
2005-03-11,Stable
2005-03-14,Crisis
2005-03-15,Stable
2005-03-16,Fragile
2005-03-17,Fragile
2005-03-18,Fragile
2005-03-21,Fragile
2005-03-22,Volatile
2005-03-23,Volatile
2005-03-24,Fragile
2005-03-28,Fragile
2005-03-29,Volatile
